event_id,uid,info,ts
evt_001,1,"{""action"": ""click"", ""page"": ""home""}",2026-02-07 10:00:00
evt_002,2,"{""action"": ""view"", ""page"": ""pricing""}",2026-02-07 10:05:00
evt_003,1,"{""action"": ""purchase"", ""amount"": 99.99}",2026-02-07 10:10:00
evt_004,null,"{""action"": ""error"", ""code"": 500}",2026-02-07 10:15:00
evt_005,3,"{""action"": ""click"", ""page"": ""contact""}",2026-02-07 10:20:00
evt_006,5,INVALID LOG STRING,2026-02-07 10:25:00
evt_007,2,"{""action"": ""click"", ""page"": ""home""}",2026-02-07 10:30:00
evt_008,99,"{""action"": ""view"", ""page"": ""docs""}",2026-02-07 10:35:00
evt_009,4,"{""action"": ""click"", ""page"": ""home""}",31-02-2026
evt_010,1,"{""action"": ""click"", ""page"": ""home""}",2026-02-07 11:00:00
evt_002,2,"{""action"": ""view"", ""page"": ""pricing""}",2026-02-07 10:10:00
